id,tier,npc_id,setup,a_label,a_stat,a_difficulty,a_success,a_failure,b_label,b_stat,b_difficulty,b_success,b_failure
auditor_t4_a,4,auditor,"The Auditor sits down on the kerb, clipboard in lap. ""I've been in a lot of lines. Wrong ones, mostly. And I'm starting to think I might be in the right one this time, and I don't know what to do with that.""",Sit with them,CHARM,9,"You sit. Neither of you says anything for a while. ""This is fine,"" they say eventually. ""Being right is fine."" They don't get up for a long time.","You sit and immediately start reassuring them and they say ""I didn't ask for that"" and they're right, they didn't.",Help them audit this line properly,INTELLIGENCE,10,"You go through the checklist together. Location, duration, direction of travel. Every box gets a tick. ""Right line,"" they say. ""Right line."" They frame the page.","You go through the checklist and get to ""purpose"" and neither of you can fill it in and the audit fails on a technicality."
auditor_t4_b,4,auditor,"""Someone told me,"" says the Auditor, ""that there's a person at the front who checks names. I've never seen them. I've never seen anyone come OUT. Have you?""",Reason carefully about where people go,INTELLIGENCE,12,"You lay out the possibilities without committing to any. The Auditor listens, writes, nods. ""So we don't know,"" they say. ""Officially."" Officially seems to help.","You say ""they probably come out the back"" and the Auditor says ""there IS no back, I've checked"" and shows you a diagram of the back.","Walk to the door and look, then walk back",STRENGTH,8,"You go. You look. It's a door. You come back. ""Door,"" you report. The Auditor writes ""DOOR (CONFIRMED)"" and seems satisfied.","You go and someone at the front says ""excuse me"" in a way that makes you retreat immediately. ""Well?"" says the Auditor. You have nothing."
regular_t5_a,5,regular,"The Regular is three from the front. They haven't been this close in years. Their hands are shaking. ""I'm going to step out,"" they say. ""I always step out. Tell me not to.""",Tell them not to,CHARM,14,"You tell them. Simply. They stay. Two from the front now. One. They look back at you once, and then they go. You don't know what happened after.","You say ""stay"" and they say ""why"" and you don't have the why and they step out and rejoin at the back. Same as always.",Stand behind them so there's no room to step out,STRENGTH,13,"You close the gap with your whole body. They feel it. ""Oh,"" they say. They can't step back. So they step forward.","You close the gap and they turn sideways and slip out anyway. ""Sorry,"" they say, already walking to the back."
regular_t5_b,5,regular,"""I want to give you something,"" the Regular says. It's the thermos. ""It's been in this line longer than anyone. I think it should go on without me.""","Accept it, and carry it the rest of the way",STRENGTH,12,"It's heavier than it looks. Full of something. You don't check. You carry it. When you get to the front, it's still with you. It's yours now.","You accept it and set it down for a second and it's gone. Just gone. The Regular doesn't say anything, which is somehow the worst thing.",Ask what's in it,INTELLIGENCE,11,"""Cold coffee,"" they say. ""From the first day."" You look at them. They're not joking. You take it anyway. It's history.","You ask and they say ""don't"" and you ask again and they take it back. Some things you're supposed to just carry."
streamer_t5_a,5,streamer,"The Streamer's phone reads LIVE · 40. Forty. Chat is moving too fast to read. ""They want to know what happens at the front,"" they say, white as a sheet. ""They keep asking. What do I do?""","Tell chat, on camera, that they'll find out when they line up",CHARM,15,"You say it with a grin. Chat explodes. ""lmao."" ""ok fine."" ""brb joining."" The count hits fifty. The Streamer sits down on the pavement.","You say it and it comes out smug. Chat turns. ""gatekeeping."" ""ratio."" Thirty. Twenty. The Streamer takes the phone back gently.",Moderate the chat,INTELLIGENCE,13,"You set slow mode, pin a message that says ""we don't know either,"" and time out two bots. Chat calms. The Streamer looks at you like you're a paramedic.","You try to set slow mode and accidentally end the stream. LIVE · 0. The Streamer stares at the black screen. ""It's fine. It's fine. We'll go again."""
streamer_t5_b,5,streamer,"""They offered me a sponsorship,"" the Streamer whispers. ""A real one. Insoles. But they want me to say what the line is for. I don't know what the line is for. What do I do?""",Draft a sponsor read that says nothing,INTELLIGENCE,14,"You write: ""Whatever's at the front, you'll want to be comfortable getting there."" The Streamer reads it. The sponsor loves it. Nobody said anything.",You write something that accidentally implies the line is for insoles. The sponsor loves it. The Streamer doesn't. It goes out anyway.,Convince them to turn it down,CHARM,13,"You say ""you don't need it."" They look at their forty viewers. ""I don't need it,"" they repeat. They decline. Chat cheers. It's the best content they've ever made.","You say turn it down and they say ""easy for you to say"" and they're right, it is easy for you to say."
placeholder_t5_a,5,placeholder,"The friend arrived. They're here. Real. They're standing in the spot. The Placeholder is standing just behind, looking at their own hands. ""I don't know what to do now,"" they say quietly.",Tell the friend what the Placeholder did,CHARM,14,You tell them. All of it. The hours. The gap. The friend turns around and looks at the Placeholder like they're seeing them for the first time. They swap places.,"You tell the friend and the friend says ""yeah, I know, thanks"" without turning around and the Placeholder says ""it's fine"" and it is not.","Point out the Placeholder is now, technically, behind",INTELLIGENCE,12,"You explain the geometry. The friend gets it immediately, steps back, and pushes the Placeholder forward. ""You waited,"" they say. ""You go first.""","You explain the geometry and the friend says ""a spot's a spot"" and the Placeholder nods along and something small breaks."
placeholder_t5_b,5,placeholder,"The Placeholder has started holding a spot for you. You didn't ask. ""In case you need to step out,"" they say. ""Ever. I've got it. That's what I do.""",Accept it gracefully,CHARM,12,"""Thank you,"" you say, and mean it. They stand a little taller. Someone's spot is being held, and it's yours, and that turns out to matter.","You say ""you don't have to"" and they say ""I know"" and you say ""really"" and now it's a thing, and you made it a thing.","Refuse to ever step out, so the holding is never needed",STRENGTH,15,You don't step out. Not once. Hours. The Placeholder holds a spot that never opens. Neither of you mentions it. It's perfect.,You last a long time and then you need to step out and you do and the Placeholder holds your spot flawlessly and you feel like you've lost a bet.
vendor_t5_a,5,vendor,"The Vendor has packed up the table. There's no item today. ""Last day,"" they say. ""Moving on. Different line. I've got one thing left, and it's not for sale."" They hold out their hand. There's nothing in it.",Take what's in the hand,INTELLIGENCE,15,"You take it. It's nothing. You put it in your pocket. The Vendor nods. ""Look after that."" You will. You're not sure what it is, but you will.","You look at the empty hand and say ""there's nothing there"" and the Vendor closes their hand and says ""not any more"" and leaves.",Ask them to stay one more day,CHARM,13,"""One more day,"" they say. They unpack the table. Tomorrow's item is a single sock. You don't buy it. You don't need to.","You ask them to stay and they say ""you never bought anything"" and you didn't, did you. Not once."
vendor_t5_b,5,vendor,"The Vendor's item today is a folded piece of paper. ""Fifty dollars. No change. It's a note. I don't know what it says. I don't read the stock.""",Deduce where the note came from,INTELLIGENCE,16,"You examine the fold, the paper, the crease pattern. It's a grocery list. The Vendor knew. ""Forty dollars,"" they say.","You examine it and declare it's something important. It's a grocery list. The Vendor reads it aloud. ""Eggs. Milk."" Fifty dollars.","Refuse to look at it, on principle",STRENGTH,10,"You don't look. You don't ask. The Vendor is impressed. ""Most people look,"" they say. You're not most people. You're in a line.","You refuse, and then your eyes drift, and you see the word ""eggs,"" and the Vendor says ""that's a look"" and charges you a dollar for it."
auditor_t5_a,5,auditor,"The Auditor is at the door. Next in. They turn around. ""I've audited nine hundred lines. This is the first one I've reached the front of. I'm scared."" They hold out the clipboard. ""Sign it. As a witness.""",Sign the clipboard,CHARM,15,"You sign. They look at your signature for a long time. Then they turn around, and the door opens, and that's all you know.","You sign, but your hand's shaking too, and it comes out wrong, and they say ""that's not a signature"" and the moment's gone and the door opens anyway.",Tell them what the audit found,INTELLIGENCE,16,"You summarise it. Nine hundred lines. One right one. They nod. ""Case closed,"" they say, and step through, and the clipboard stays with you.","You summarise and you get a number wrong and they correct you, at the door, and then they're gone, and the last thing they said was a number."
auditor_t5_b,5,auditor,"""I've worked it out,"" says the Auditor, very calm. ""There's no wrong line. There never was. Every line is the right one for the people in it."" They look at you. ""Tell me I'm wrong.""",Find the flaw in the argument,INTELLIGENCE,18,"You find it. It's subtle. They listen, and then they smile. ""There it is,"" they say. ""I knew there was one."" They seem relieved to be wrong again.","You try and you can't. They wait. ""So I'm right,"" they say. They don't look happy about it. Being right was never the point.",Tell them they're right,CHARM,14,"""You're right,"" you say. They put the clipboard down on the pavement and leave it there, and stand in line like everyone else. Just a person, now.","You say ""you're right"" too fast and they say ""you didn't even think about it"" and pick the clipboard back up."
